generation,avg_cost,best_cost,avg_coverage,best_coverage,avg_distance,best_distance,avg_sites,min_sites,max_sites,best_sites,avg_wait_min,avg_wait_peak_min,avg_wait_normal_min,unstable_sites_count
105,201832668.47317928,22255190.15640578,284.7662751733416,284.7662751733417,1.095814723215994,0.675425923978205,45.75,6,116,6,,,,60
106,213274405.29646847,22255190.15640578,284.7662751733416,284.7662751733417,1.0702279798828715,0.675425923978205,48.3,6,116,6,,,,60
107,208205219.13106233,22255190.15640578,284.7662751733416,284.7662751733417,1.0938929991384894,0.675425923978205,47.25,6,116,6,,,,60
108,200289762.2010838,22255190.15640578,284.7662751733416,284.7662751733417,1.091242407758436,0.675425923978205,45.53333333333333,6,116,6,,,,60
109,194008166.70446393,22255190.15640578,284.7662751733416,284.7662751733417,1.1082724495869756,0.675425923978205,44.21666666666667,6,116,6,,,,60
110,192483437.98221514,22255190.15640578,284.7662751733416,284.7662751733417,1.1126966178088513,0.675425923978205,44.06666666666667,6,116,6,,,,60
111,209712267.1434682,22255190.15640578,284.7662751733416,284.7662751733417,1.090485735604726,0.675425923978205,47.516666666666666,6,116,6,,,,60
112,192172092.70950466,22255190.15640578,284.7662751733416,284.7662751733417,1.1071030277108642,0.675425923978205,43.61666666666667,6,116,6,,,,60
113,196234481.8639062,22255190.15640578,284.7662751733416,284.7662751733417,1.104836428899856,0.675425923978205,44.833333333333336,6,116,6,,,,60
114,197752490.22018817,22255190.15640578,284.7662751733416,284.7662751733417,1.1082247663971752,0.675425923978205,45.06666666666667,6,116,6,,,,60
115,197636742.11045396,22255190.15640578,284.7662751733416,284.7662751733417,1.1099619759194688,0.675425923978205,45.15,6,116,6,,,,60
116,203946845.49417958,22255190.15640578,284.7662751733416,284.7662751733417,1.0953802766487801,0.675425923978205,46.25,6,116,6,,,,60
117,195090698.99029514,22255190.15640578,284.7662751733416,284.7662751733417,1.1273650222778533,0.675425923978205,44.18333333333333,6,116,6,,,,60
118,196803270.60672683,22255190.15640578,284.7662751733416,284.7662751733417,1.1280302088335197,0.675425923978205,44.86666666666667,6,116,6,,,,60
119,193528952.6391786,22255190.15640578,284.7662751733416,284.7662751733417,1.1369037547657501,0.675425923978205,44.0,6,116,6,,,,60
120,205821978.6433515,22255190.15640578,284.7662751733416,284.7662751733417,1.1014691377756627,0.675425923978205,46.81666666666667,6,116,6,,,,60
121,201835650.4826384,22255190.15640578,284.7662751733416,284.7662751733417,1.1243167044412152,0.675425923978205,46.03333333333333,6,116,6,,,,60
122,198042256.8199191,22255190.15640578,284.7662751733416,284.7662751733417,1.1308684326616656,0.675425923978205,44.95,6,116,6,,,,60
123,210561164.42095464,22255190.15640578,284.7662751733416,284.7662751733417,1.1122387415090655,0.675425923978205,47.4,6,116,6,,,,60
124,208894791.0534825,22255190.15640578,284.7662751733416,284.7662751733417,1.090943002449833,0.675425923978205,47.35,6,116,6,,,,60
125,207383681.14187002,22255190.15640578,284.7662751733416,284.7662751733417,1.1038820240484017,0.675425923978205,46.95,6,116,6,,,,60
126,201053764.73892483,22255190.15640578,284.7662751733416,284.7662751733417,1.1033936692633426,0.675425923978205,45.55,6,116,6,,,,60
127,200838346.75694647,22255190.15640578,284.7662751733416,284.7662751733417,1.1072421507542265,0.675425923978205,45.43333333333333,6,116,6,,,,60
128,215664804.67621544,22255190.15640578,284.7662751733416,284.7662751733417,1.0568419043823307,0.675425923978205,48.483333333333334,6,116,6,,,,60
129,219232122.99760827,22255190.15640578,284.7662751733416,284.7662751733417,1.0653486040309474,0.675425923978205,49.083333333333336,6,116,6,,,,60
130,208244473.5531887,22255190.15640578,284.7662751733416,284.7662751733417,1.0799714812888002,0.675425923978205,47.15,6,116,6,,,,60
131,224474043.79207966,22255190.15640578,284.7662751733416,284.7662751733417,1.0358100665775993,0.675425923978205,50.81666666666667,6,116,6,,,,60
