site_id,location_name,latitude,longitude,demand_category,coverage_evs,density_per_km2,annual_profit_inr,price_per_kwh_inr,capacity_charging_points,setup_cost_inr,grid_upgrade_cost_inr,total_setup_cost_inr,nearest_grid_id,nearest_grid_name,grid_voltage_kv,grid_available_kw,grid_required_kw,grid_capacity_gap_kw,distance_to_grid_km,grid_capacity_ok,site_type,queue_arrival_rate_per_hour,queue_service_rate_per_charger_per_hour,queue_chargers,queue_station_capacity_K,avg_charging_time_min,avg_wait_time_min,avg_time_in_station_min,queue_Lq,queue_L,queue_P0,queue_P_block,queue_utilization
52,MY Kitchen Restaurant,22.7562278,75.9051644,High,1110.59,14.1405,13933409.67,18.0,4,2922137.4244840657,0.0,2922137.4244840657,13,Satya Sai Substation,132.0,36000.0,200.0,35800.0,1.060897995370172,True,restaurant,9.254903943133623,4.0,4,,15.0,2.3142688579415394,17.31426885794154,0.3569722663139084,2.670698252097314,0.0918506852516066,0.0,0.5784314964458515
55,Rangoon Garden,22.74865719054741,75.9180881123429,High,1034.65,13.1736,12976595.33,18.0,4,2944486.1902789017,0.0,2944486.1902789017,30,,11.0,252.0,200.0,52.0,0.5714926453570148,True,restaurant,8.622089998303974,4.0,4,,15.0,1.7435411718804312,16.743541171880434,0.25054948166169094,2.4060719812376847,0.10990784199081347,0.0,0.5388806248939984
57,Annapurna Restaurent,22.6564519,75.8072339,High,302.51,3.8516,3751566.75,18.0,8,4805343.319739673,125800.0,4931143.319739673,25,,11.0,252.0,400.0,-148.0,1.9909798882660446,False,restaurant,2.5208783997174966,4.0,8,,15.0,7.2608251310139e-07,15.000000726082515,3.05060953948315e-08,0.6302196304354696,0.5324748548343597,0.0,0.07877744999117177
59,Panna Restaurant & Sweets,22.6729012,75.880289,High,844.81,10.7564,10584559.49,18.0,6,3799019.231995377,0.0,3799019.231995377,9,Indore SZ,220.0,54000.0,300.0,53700.0,1.326135387622109,True,restaurant,7.040055136229849,4.0,6,,15.0,0.03553198623894633,15.035531986238947,0.0041691190370323735,1.7641829030944949,0.17192615352383206,0.0,0.29333563067624374
61,"Vairagi Chef ""Cakes and Street Food""",22.689820373079204,75.86347200318302,High,1290.94,16.4368,16205843.72,18.0,6,3717735.103958559,40800.0,3758535.103958559,24,,11.0,252.0,300.0,-48.0,1.2853127688402017,False,restaurant,10.757837062104041,4.0,6,,15.0,0.29058644478075285,15.290586444780752,0.05210136042345721,2.741560625949467,0.067324538558078,0.0,0.4482432109210017
63,Karnawat hotel,22.75719398182501,75.88495770945758,High,1129.57,14.3822,14172613.25,18.0,8,4676007.118922505,125800.0,4801807.118922505,15,Vijaynagar Substation,11.0,252.0,400.0,-148.0,0.13580528977940887,False,restaurant,9.413107429341036,4.0,8,,15.0,0.008343767676429206,15.00834376767643,0.0013090130250615224,2.354585870360321,0.09504084289356492,0.0,0.29415960716690737
65,Sai prasad,22.7177775,75.8695959,High,1640.08,20.8821,20604997.93,18.0,4,2743289.688002563,0.0,2743289.688002563,17,,11.0,252.0,200.0,52.0,1.7856080775836165,True,restaurant,13.667331646848233,4.0,4,,15.0,17.938041322587875,32.93804132258787,4.086085997511276,7.502918909223334,0.01790301011298053,0.0,0.8542082279280145
67,Pitchers Cafebar,22.7443446,75.8920419,High,1499.77,19.0957,18837083.14,18.0,4,2856427.887338266,0.0,2856427.887338266,13,Satya Sai Substation,132.0,36000.0,200.0,35800.0,0.8251182300797053,True,restaurant,12.498075410385576,4.0,4,,15.0,9.644227229639387,24.644227229639387,2.008904653182117,5.133423505778511,0.031023330873399996,0.0,0.7811297131490985
68,Pishori Dhaba,22.6987248,75.8641434,High,1499.77,19.0957,18837083.14,18.0,8,4584471.71085208,125800.0,4710271.71085208,24,,11.0,252.0,400.0,-148.0,1.9948601376869786,False,restaurant,12.498075410385576,4.0,8,,15.0,0.04992419979998929,15.049924199799987,0.010399273565057045,3.134918126161451,0.04389551587294281,0.0,0.39056485657454926
70,Pind balluchi,22.7559532,75.8941344,High,1205.51,15.349,15129427.59,18.0,8,4692663.144311687,125800.0,4818463.144311687,31,,11.0,252.0,400.0,-148.0,0.7051814006157817,False,restaurant,10.045921374170685,4.0,8,,15.0,0.012686572957609863,15.012686572957609,0.0021241385739971456,2.5136044821166683,0.08112519972793016,0.0,0.3139350429428339
