site_id,location_name,latitude,longitude,demand_category,coverage_evs,density_per_km2,annual_profit_inr,price_per_kwh_inr,capacity_charging_points,setup_cost_inr,grid_upgrade_cost_inr,total_setup_cost_inr,nearest_grid_id,nearest_grid_name,grid_voltage_kv,grid_available_kw,grid_required_kw,grid_capacity_gap_kw,distance_to_grid_km,grid_capacity_ok,site_type
75,Vrindavan Restaurant,22.7616141153092,75.88635588043566,High,506.4,6.4477,2772888.72,10.22,8,4693170.9004099425,125800.0,4818970.9004099425,15,Vijaynagar Substation,11.0,252.0,400.0,-148.0,0.42814443499840066,False,restaurant
76,hazi samosa center,22.7190137,75.8593867,High,294.93,3.7551,1532599.01,10.0,6,3606470.6635207413,40800.0,3647270.6635207413,27,,11.0,252.0,300.0,-48.0,1.8921606791562808,False,restaurant
78,Veg Bites Cafe & Restaurant,22.695734301118602,75.83496816638406,High,119.18,1.5175,583584.11,10.0,4,2823641.4549864917,0.0,2823641.4549864917,27,,11.0,252.0,200.0,52.0,2.009852527436004,True,restaurant
81,Taste N Best,22.6729273,75.8766558,Medium,67.87,0.8641,235823.66,10.0,8,4693974.005432785,0.0,4693974.005432785,9,Indore SZ,220.0,54000.0,400.0,53600.0,1.529143173449488,True,restaurant
82,Royal Bakery Stores,22.690061982896673,75.86376348595432,High,195.29,2.4865,994548.99,10.0,8,4616999.782637364,125800.0,4742799.782637364,24,,11.0,252.0,400.0,-148.0,1.3243246904527197,False,restaurant
83,Chopstick City,22.7512405,75.8893495,High,705.13,8.978,3884620.32,10.22,8,4667538.123010402,125800.0,4793338.123010402,31,,11.0,252.0,400.0,-148.0,0.6906168540459244,False,restaurant
89,Apna Sweets,22.6995369,75.8669063,High,254.35,3.2384,1313465.0,10.0,4,2784789.200687825,0.0,2784789.200687825,24,,11.0,252.0,200.0,52.0,2.244694346824176,True,restaurant
92,Mr. Beans,22.7232375,75.896927,High,440.7,5.6112,2405370.15,10.22,6,3741526.5966495755,40800.0,3782326.5966495755,17,,11.0,252.0,300.0,-48.0,1.2356808448955865,False,restaurant
103,Apna Sweets,22.7257518,75.8920658,High,466.49,5.9396,2549644.07,10.22,4,2825666.703279331,0.0,2825666.703279331,17,,11.0,252.0,200.0,52.0,1.1075138881899926,True,restaurant
104,Kabeer roasted chicken,22.7138033,75.8745714,High,335.66,4.2738,1760930.5,10.03,6,3664631.978985444,40800.0,3705431.978985444,17,,11.0,252.0,300.0,-48.0,1.320641415862772,False,restaurant
108,sun food restaurant,22.753817,75.8847761,High,606.96,7.7281,3335467.7,10.22,6,3764859.249362024,40800.0,3805659.249362024,31,,11.0,252.0,300.0,-48.0,0.46011759146655457,False,restaurant
109,,22.700538747462364,75.92601925588221,High,397.03,5.0551,2083956.91,10.0,6,3856245.237139989,0.0,3856245.237139989,18,Indore East,220.0,54000.0,300.0,53700.0,0.5375859775274936,True,restaurant
110,,22.7478513,75.8949282,High,654.55,8.334,3601689.57,10.22,12,6622490.374799627,0.0,6622490.374799627,13,Satya Sai Substation,132.0,36000.0,600.0,35400.0,0.3461612388077147,True,fuel_station
111,,22.710425,75.8802347,High,320.46,4.0803,1670496.4,10.0,4,2913693.944010592,0.0,2913693.944010592,17,,11.0,252.0,200.0,52.0,1.0038843988947899,True,fuel_station
112,,22.7169637,75.8844267,High,374.78,4.7718,1987267.54,10.07,8,4724061.830478864,125800.0,4849861.830478864,17,,11.0,252.0,400.0,-148.0,0.26214475847344637,False,fuel_station
114,,22.707562,75.8785267,High,309.4,3.9394,1610748.21,10.0,8,4713442.89629466,125800.0,4839242.89629466,17,,11.0,252.0,400.0,-148.0,1.3584274015696385,False,fuel_station
115,,22.7233775,75.8868323,High,416.67,5.3053,2216137.09,10.07,12,6535780.614672751,295800.0,6831580.614672751,17,,11.0,252.0,600.0,-348.0,0.7132734766313265,False,fuel_station
116,,22.6979276,75.8776734,High,265.12,3.3756,1371634.97,10.0,8,4742337.30838624,125800.0,4868137.30838624,19,,11.0,252.0,400.0,-148.0,1.2322804386944382,False,fuel_station
118,,22.7323563,75.846771,High,221.26,2.8171,1134778.94,10.0,12,6481353.969509247,0.0,6481353.969509247,33,,132.0,36000.0,600.0,35400.0,1.4595721819455636,True,fuel_station
119,,22.734226,75.8563484,High,542.03,6.9014,2900928.09,10.07,8,4673450.533422481,0.0,4673450.533422481,33,,132.0,36000.0,400.0,35600.0,0.5422700729210447,True,fuel_station
120,,22.751515,75.8907697,High,726.83,9.2543,4006034.88,10.22,4,3020894.007529152,0.0,3020894.007529152,31,,11.0,252.0,200.0,52.0,0.7192741607967892,True,fuel_station
122,,22.7051042,75.8439517,Medium,95.71,1.2186,443547.15,10.0,4,2896375.04166044,0.0,2896375.04166044,27,,11.0,252.0,200.0,52.0,0.8358520894819568,True,fuel_station
123,,22.720551,75.838656,High,164.22,2.0909,826789.47,10.0,8,4688026.166605756,125800.0,4813826.166605756,27,,11.0,252.0,400.0,-148.0,0.9748236132616281,False,fuel_station
124,,22.6798417,75.8346339,High,1612.79,20.5347,8649062.77,10.0,12,6625643.764069424,295800.0,6921443.764069424,23,,11.0,252.0,600.0,-348.0,0.7563413727252501,False,fuel_station
128,,22.7457389,75.8717393,High,429.17,5.4644,2284419.59,10.07,8,4745961.903987998,0.0,4745961.903987998,29,,132.0,36000.0,400.0,35600.0,0.9429360410166135,True,fuel_station
130,,22.7460415,75.8937263,High,651.55,8.2957,3584874.59,10.22,8,4812482.476022975,0.0,4812482.476022975,13,Satya Sai Substation,132.0,36000.0,400.0,35600.0,0.5696309749882552,True,fuel_station
132,,22.7515167,75.8907719,High,726.9,9.2551,4006404.87,10.22,4,3020907.171254826,0.0,3020907.171254826,31,,11.0,252.0,200.0,52.0,0.7192173828932839,True,fuel_station
133,,22.7487842,75.9041628,High,588.23,7.4895,3230657.9,10.22,8,4859429.838144247,0.0,4859429.838144247,13,Satya Sai Substation,132.0,36000.0,400.0,35600.0,0.6671387330426785,True,fuel_station
