generation,best_cost,avg_cost,worst_cost,best_coverage,avg_coverage,worst_coverage,best_distance,avg_distance,worst_distance,avg_sites,min_sites,max_sites
122,13805939.330364756,101646328.66297184,355844250.9694979,215.77140382528768,186.53362696855456,69.58251954162215,0.7275121967535302,1.2681865071598504,2.501258815888528,23.72,5.0,76.0
123,13805939.330364756,95795246.13067476,355844250.9694979,215.77140382528768,186.53362696855453,69.58251954162215,0.7275121967535302,1.2829829410948463,2.501258815888528,22.58,5.0,76.0
124,13805939.330364756,98800435.7775426,355844250.9694979,215.77140382528768,186.53362696855456,69.58251954162215,0.7275121967535302,1.2479890566973735,2.501258815888528,23.18,5.0,76.0
125,13805939.330364756,107172068.2767159,355844250.9694979,215.77140382528768,186.53362696855453,69.58251954162215,0.7275121967535302,1.2299197513614266,2.501258815888528,24.88,5.0,76.0
126,13805939.330364756,112085273.77670147,355844250.9694979,215.77140382528768,189.45740465422787,69.58251954162215,0.7275121967535302,1.1988562268709244,2.501258815888528,25.9,5.0,76.0
127,13805939.330364756,106971183.39862293,355844250.9694979,215.77140382528768,189.45740465422787,69.58251954162215,0.7275121967535302,1.21282029409443,2.501258815888528,24.84,5.0,76.0
128,13805939.330364756,104823257.14894329,355844250.9694979,215.77140382528768,192.38118233990122,69.58251954162215,0.7275121967535302,1.2001312523429555,2.501258815888528,24.54,5.0,76.0
129,13805939.330364756,102982761.44977154,355844250.9694979,215.77140382528768,189.4574046542279,69.58251954162215,0.7275121967535302,1.2198546568211488,2.501258815888528,24.08,5.0,76.0
130,13805939.330364756,109567628.64911303,355844250.9694979,215.77140382528768,192.38118233990116,69.58251954162215,0.7275121967535302,1.1910506529706657,2.501258815888528,25.44,5.0,76.0
131,13805939.330364756,112324054.61106598,355844250.9694979,215.77140382528768,192.38118233990116,69.58251954162215,0.7275121967535302,1.189217669267385,2.501258815888528,25.96,5.0,76.0
132,13805939.330364756,106640773.10720578,355844250.9694979,215.77140382528768,189.45740465422787,69.58251954162215,0.7275121967535302,1.2078128104392996,2.501258815888528,24.86,5.0,76.0
